id,kostat_category_5_code,kostat_category_5_name,pdeck_category_2_code,pdeck_category_2_name
2067,59113,광고 영화 및 비디오물 제작업,0803,영상/출판방송
2068,59114,방송 프로그램 제작업,0803,영상/출판방송
2069,59120,영화비디오물 및 방송 프로그램 제작 관련 서비스업,0803,영상/출판방송
2070,59130,영화비디오물 및 방송 프로그램 배급업,0803,영상/출판방송
2071,59141,영화관 운영업,0803,영상/출판방송
2072,59142,비디오물 감상실 운영업,0803,영상/출판방송
2073,59201,음악 및 기타 오디오물 출판업,0805,공연/전시/음악
2074,59202,녹음시설 운영업,0805,공연/전시/음악
2075,60100,라디오 방송업,0803,영상/출판방송
2076,60210,지상파 방송업,0803,영상/출판방송
2077,60221,프로그램 공급업,0803,영상/출판방송
2078,60222,유선 방송업,0803,영상/출판방송
2079,60229,위성 및 기타 방송업,0803,영상/출판방송
2080,61100,공영 우편업,0107,모바일 및 통신
2081,61210,유선 통신업,0107,모바일 및 통신
2082,61220,무선 및 위성 통신업,0107,모바일 및 통신
2083,61291,통신 재판매업,0107,모바일 및 통신
2084,61299,그 외 기타 전기 통신업,0107,모바일 및 통신
2085,62010,컴퓨터 프로그래밍 서비스업,0101,소프트웨어
2086,62021,컴퓨터 시스템 통합 자문 및 구축 서비스업,0101,소프트웨어
2087,62022,컴퓨터시설 관리업,0101,소프트웨어
2088,62090,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,0101,소프트웨어
2089,63111,자료 처리업,0104,데이터 센터 및 클라우드 컴퓨팅
2090,63112,호스팅 및 관련 서비스업,0104,데이터 센터 및 클라우드 컴퓨팅
2091,63120,포털 및 기타 인터넷 정보 매개 서비스업,0106,소셜미디어 및 플랫폼
2092,63910,뉴스 제공업,0802,디지털미디어
2093,63991,데이터베이스 및 온라인 정보 제공업,0104,데이터 센터 및 클라우드 컴퓨팅
2094,63999,그 외 기타 정보 서비스업,0199,기타
2095,64110,중앙은행,0505,은행/증권/보험/캐피탈/카드
2096,64121,국내은행,0505,은행/증권/보험/캐피탈/카드
2097,64122,외국은행,0505,은행/증권/보험/캐피탈/카드
2098,64131,신용조합,0505,은행/증권/보험/캐피탈/카드
2099,64132,상호 저축은행 및 기타 저축기관,0505,은행/증권/보험/캐피탈/카드
2100,64201,신탁 및 집합 투자업,0504,자산관리
2101,64209,기타 금융 투자업,0504,자산관리
2102,64911,금융 리스업,0505,은행/증권/보험/캐피탈/카드
2103,64912,개발 금융기관,0505,은행/증권/보험/캐피탈/카드
2104,64913,신용카드 및 할부 금융업,0505,은행/증권/보험/캐피탈/카드
2105,64919,그 외 기타 여신 금융업,0505,은행/증권/보험/캐피탈/카드
2106,64991,기금 운영업,0504,자산관리
2107,64992,지주회사,0504,자산관리
2108,64999,그 외 기타 분류 안된 금융업,0599,기타
2109,65110,생명보험업,0505,은행/증권/보험/캐피탈/카드
2110,65121,손해보험업,0505,은행/증권/보험/캐피탈/카드
2111,65122,보증보험업,0505,은행/증권/보험/캐피탈/카드
2112,65131,건강보험업,0905,의료 서비스
2113,65139,산업 재해 및 기타 사회보장보험업,0505,은행/증권/보험/캐피탈/카드
2114,65200,재보험업,0505,은행/증권/보험/캐피탈/카드
2115,65301,개인 공제업,0505,은행/증권/보험/캐피탈/카드
2116,65302,사업 공제업,0505,은행/증권/보험/캐피탈/카드
2117,65303,연금업,0505,은행/증권/보험/캐피탈/카드
2118,66110,금융시장 관리업,0506,금융 DB/SW
2119,66121,증권 중개업,0505,은행/증권/보험/캐피탈/카드
2120,66122,선물 중개업,0505,은행/증권/보험/캐피탈/카드
2121,66191,"증권 발행, 관리, 보관 및 거래 지원 서비스업",0506,금융 DB/SW
2122,66192,투자 자문업 및 투자 일임업,0504,자산관리
2123,66199,그 외 기타 금융 지원 서비스업,0599,기타
2124,66201,손해 사정업,0505,은행/증권/보험/캐피탈/카드
2125,66202,보험 대리 및 중개업,0505,은행/증권/보험/캐피탈/카드
2126,66209,기타 보험 및 연금관련 서비스업,0505,은행/증권/보험/캐피탈/카드
2127,68111,주거용 건물 임대업,9903,부동산 임대
2128,68112,비주거용 건물 임대업,9903,부동산 임대
2129,68119,기타 부동산 임대업,9903,부동산 임대
2130,68121,주거용 건물 개발 및 공급업,9903,부동산 임대
2131,68122,비주거용 건물 개발 및 공급업,9903,부동산 임대
2132,68129,기타 부동산 개발 및 공급업,9903,부동산 임대
2133,68211,주거용 부동산 관리업,9903,부동산 임대
2134,68212,비주거용 부동산 관리업,9903,부동산 임대
2135,68221,부동산 중개 및 대리업,9903,부동산 개발/임대
2136,68222,부동산 투자 자문업,9903,부동산 개발/임대
2137,68223,부동산 감정 평가업,9903,부동산 개발/임대
2138,70111,물리화학 및 생물학 연구개발업,0901,바이오테크놀로지
2139,70112,농림수산학 및 수의학 연구개발업,0901,바이오테크놀로지
2140,70113,의학 및 약학 연구개발업,0901,바이오테크놀로지
2141,70119,기타 자연과학 연구개발업,0901,바이오테크놀로지
2142,70121,전기ㆍ전자공학 연구개발업,0199,기타
2143,70129,기타 공학 연구개발업,9901,화학물질/제품
2144,70130,자연과학 및 공학 융합 연구개발업,9901,화학물질/제품
2145,70201,경제 및 경영학 연구개발업,0599,기타
2146,70209,기타 인문 및 사회과학 연구개발업,0706,교육/에드테크
2147,71101,변호사업,9905,법률/법무/행정
2148,71102,변리사업,9905,법률/법무/행정
2149,71103,법무사업,9905,법률/법무/행정
2150,71109,기타 법무관련 서비스업,9905,법률/법무/행정
2151,71201,공인회계사업,0507,세무/회계/컨설팅
2152,71202,세무사업,0507,세무/회계/컨설팅
2153,71209,기타 회계 관련 서비스업,0507,세무/회계/컨설팅
2154,71310,광고 대행업,0802,디지털미디어
2155,71391,옥외 및 전시 광고업,0802,디지털미디어
2156,71392,광고 매체 판매업,0802,디지털미디어
2157,71393,광고물 문안도안설계 등 작성업,0802,디지털미디어
2158,71399,그 외 기타 광고 관련 서비스업,0802,디지털미디어
2159,71400,시장 조사 및 여론 조사업,0899,기타
2160,71511,제조업 회사 본부,0299,기타
2161,71519,기타 산업 회사본부,0599,기타
2162,71531,경영 컨설팅업,0599,기타
2163,71532,공공관계 서비스업,0599,기타
2164,71600,기타 전문 서비스업,0599,기타
2165,72111,건축 설계 및 관련 서비스업,9903,부동산 임대
2166,72112,도시 계획 및 조경 설계 서비스업,9903,부동산 임대
